SegmentID,count
111706,389
111919,3456
111966,1728
111967,1357
111982,672
111985,864
111992,1344
112037,189
112041,371
112043,1344
112116,1334
112135,1857
112136,3456
112141,369
112142,372
112171,870
112188,1137
112206,3456
112365,1758
112367,3241
112373,1061
112403,387
112418,1867
112423,765
112431,2731
112436,760
112437,871
112566,1728
112567,581
112591,375
112599,707
112603,2592
112638,1156
112644,376
112647,952
112655,1440
112661,189
112662,190
112673,299
112674,389
112675,294
112688,865
112689,865
112696,672
112716,555
112717,735
11273,7979
112746,1575
112797,378
112799,1053
112801,950
112817,4424
112827,2003
112891,385
112909,1617
112917,3249
112926,2688
112927,2016
112960,1344
113004,2688
113007,1718
113012,1728
113015,1525
113038,1344
113092,1344
113109,672
113116,1344
113117,2328
113121,2793
113124,672
113134,6035
113139,2790
113219,1344
113272,1938
113294,385
113308,1056
113319,1816
113340,672
113346,1344
113347,1344
113352,672
113355,1133
113360,672
113361,2592
113401,2784
113402,1440
113403,1344
113414,672
113417,1724
113422,672
113432,864
113440,2016
113458,1538
113459,2874
113472,672
113473,672
113475,672
113476,5615
113480,1344
113481,1344
113486,3977
113487,2776
113491,714
113502,2082
113503,1344
113509,1344
113513,804
113525,926
113542,684
113549,2020
113574,1344
11362,2850
11364,1696
113667,1344
113686,2488
113687,767
113688,1344
113735,377
113869,1344
113872,672
113908,770
113914,1728
11394,4190
113945,380
11395,602
11397,3365
113976,377
113977,1344
113993,768
113995,861
113997,862
114022,4296
114027,1344
114028,1344
114034,384
114036,386
114043,672
114073,672
114125,1275
114135,1344
114232,1053
114236,1728
114239,381
114241,6097
114252,781
114257,289
114265,1162
114275,672
114288,672
114291,672
114383,672
114450,2971
114453,1344
114477,959
11449,1147
114493,1344
114494,1344
114509,1720
114556,970
114646,384
114662,295
114698,672
11482,1486
114823,813
114825,1728
114831,672
114833,1440
114868,672
114869,2312
114938,1789
114953,1728
114957,2688
115012,717
115025,672
115067,384
115077,971
115083,955
115088,1448
115134,289
115136,1151
115145,188
115148,1147
115158,888
115182,672
115196,1237
115233,1544
115234,864
115236,2009
115260,5684
115262,2101
115263,1536
115269,395
115270,39685
115272,2975
115281,672
115284,1728
115287,3092
115291,1344
115296,864
115314,674
115363,1344
115395,384
115412,688
115489,672
115501,1486
115502,768
115503,718
115512,372
115514,5959
115579,1344
115582,1344
115588,283
115640,672
115821,5184
115832,375
115849,1536
115857,397
115962,689
11599,2006
116050,1794
116060,1480
116065,390
116076,381
11608,822
116167,386
116269,3456
116293,1378
116294,3737
116295,1338
116301,5413
116315,387
116319,1046
116320,367
116322,365
116323,672
11633,1265
116336,2688
116340,672
116348,672
116367,672
11637,1262
11639,377
11640,375
116408,388
11641,380
116415,757
116416,5840
116420,931
116421,832
116422,825
116433,2016
11644,1263
116440,380
116442,1344
116449,1344
116451,380
116452,768
116453,1240
116469,381
116494,960
116495,966
116513,394
116514,395
116523,388
116524,388
116540,2688
116577,1621
116587,3456
116588,4818
116598,4916
116609,383
116629,385
116631,2173
116638,1628
116642,953
116657,666
116681,377
116770,3729
116777,3293
116798,380
116814,672
116815,1344
116830,1344
116849,864
116861,375
116869,1652
116881,762
116882,381
116891,388
117001,768
117044,865
117045,1627
117052,867
117088,372
117116,404
117162,750
11717,1556
117221,555
117223,383
117224,938
117228,1344
117242,1728
117288,952
11733,672
117348,387
117457,378
117479,951
117488,1344
117626,33396
117627,1430
11771,1344
117714,1536
11776,865
117762,4705
11778,755
117811,379
117843,1344
117865,962
11787,2688
117883,2240
117890,672
117965,3360
118008,384
118014,848
118015,840
118060,862
118085,763
118106,4809
118126,753
118248,864
118249,822
118288,1053
118289,1052
118434,380
118494,864
118511,387
118525,382
118532,1731
118537,383
118625,865
118668,977
118676,755
118696,913
118698,910
118701,3434
118752,3929
118780,769
118791,1344
118811,896
118851,9156
118895,373
11894,750
11897,748
119060,853
119119,400
119141,367
